GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PayMyBuddy,com.payMyBuddy.app.controller,WebController,0,29,0,0,0,8,0,4,0,4
PayMyBuddy,com.payMyBuddy.app.controller,RegistrationController,0,34,0,0,0,10,0,4,0,4
PayMyBuddy,com.payMyBuddy.app.controller,TransferController,4,88,2,2,0,22,2,4,0,4
PayMyBuddy,com.payMyBuddy.app.controller,ContactController,5,64,0,0,0,17,1,5,1,5
PayMyBuddy,com.payMyBuddy.app.controller,GlobalControllerExceptionHandler,32,3,0,0,8,1,4,1,4,1
PayMyBuddy,com.payMyBuddy.app.controller,ProfileController,4,109,2,2,0,26,2,5,0,5
PayMyBuddy,com.payMyBuddy.app.exception,ImpossibleTransferException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.payMyBuddy.app.exception,ImpossibleConnectionException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.payMyBuddy.app.exception,TransactionFailedException,4,0,0,0,2,0,1,0,1,0
PayMyBuddy,com.payMyBuddy.app.exception,AlreadyExistException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.payMyBuddy.app.exception,RessourceNotFoundException,0,4,0,0,0,2,0,1,0,1
PayMyBuddy,com.payMyBuddy.app.model,User,4,107,0,0,2,33,1,17,1,17
PayMyBuddy,com.payMyBuddy.app.model,TransactionBank,29,27,0,0,13,11,8,4,8,4
PayMyBuddy,com.payMyBuddy.app.model,TransactionUser,37,45,0,0,17,17,10,6,10,6
PayMyBuddy,com.payMyBuddy.app.DTO,TransferBankDTO,8,15,0,0,4,6,2,3,2,3
PayMyBuddy,com.payMyBuddy.app.DTO,UserRegistrationDTO,8,18,0,0,4,8,2,4,2,4
PayMyBuddy,com.payMyBuddy.app.DTO,TransferUserDTO,12,21,0,0,6,8,3,4,3,4
PayMyBuddy,com.payMyBuddy.app,PayMyBuddyApplication,5,3,0,0,2,1,1,1,1,1
PayMyBuddy,com.payMyBuddy.app.service,TransactionUserServiceImpl,6,143,2,6,2,29,2,7,0,5
PayMyBuddy,com.payMyBuddy.app.service,TransactionBankServiceImpl,12,120,0,10,4,25,0,10,0,5
PayMyBuddy,com.payMyBuddy.app.service,UserServiceImpl,10,170,4,12,2,36,4,14,0,10
PayMyBuddy,com.payMyBuddy.app.service,PaginationServiceImpl,0,42,0,4,0,10,0,5,0,3
PayMyBuddy,com.payMyBuddy.app.configuration,SpringSecurityConfig,0,76,0,0,0,14,0,5,0,5
